time,open,high,low,close
2021-11-09T21:00:00-03:00,66928.42,69000,62856.71,64921.43
2021-11-10T21:00:00-03:00,64919.18,65625.44,64140,64821.33
2021-11-11T21:00:00-03:00,64783.13,65497.53,62294.84,64158.41
2021-11-12T21:00:00-03:00,64140.23,64980,63400,64417.52
2021-11-13T21:00:00-03:00,64403.43,65509.87,63595.76,65509.87
2021-11-14T21:00:00-03:00,65509.87,66387.4,63348.91,63606.09
2021-11-15T21:00:00-03:00,63621.61,63628,58563,60142.31
2021-11-16T21:00:00-03:00,60115.12,60888.5,58400,60373.65
2021-11-17T21:00:00-03:00,60376.94,60978.39,56516.44,56917.66
2021-11-18T21:00:00-03:00,56924.94,58402.05,55640,58128.55
2021-11-19T21:00:00-03:00,58126.46,59896.54,57424.27,59768.54
2021-11-20T21:00:00-03:00,59785.85,60090.55,58525.84,58678.47
2021-11-21T21:00:00-03:00,58679.27,59516.78,55628.57,56294.11
2021-11-22T21:00:00-03:00,56283.8,57897.54,55128.6,57579.99
2021-11-23T21:00:00-03:00,57583.91,57750.2,55894.62,57185.06
2021-11-24T21:00:00-03:00,57169.19,59445.45,57044.42,58990.14
2021-11-25T21:00:00-03:00,59004.88,59207.36,53524.03,53789.35
2021-11-26T21:00:00-03:00,53794.32,55382,53653.45,54774.66
2021-11-27T21:00:00-03:00,54764.24,57482.42,53308.93,57338.55
2021-11-28T21:00:00-03:00,57327.32,58931.07,56750,57845.12
2021-11-29T21:00:00-03:00,57843.33,59250,55918.8,56974.12
2021-11-30T21:00:00-03:00,57027.28,59099.64,56469.22,57251.59
2021-12-01T21:00:00-03:00,57232.71,57413.52,55839.85,56547.96
2021-12-02T21:00:00-03:00,56534.26,57652,51556.01,53743.69
2021-12-03T21:00:00-03:00,53685.47,53877.77,41967.5,49234.97
2021-12-04T21:00:00-03:00,49240.81,49777.62,47836.34,49463.22
2021-12-05T21:00:00-03:00,49484,50986,47111,50555
2021-12-06T21:00:00-03:00,50550.09,51991,50062.13,50627.32
2021-12-07T21:00:00-03:00,50635.87,51249.41,48656.2,50543.3
2021-12-08T21:00:00-03:00,50535.15,50839.01,47332.43,47593.12
2021-12-09T21:00:00-03:00,47573.43,50132.88,46886,47142.42
2021-12-10T21:00:00-03:00,47179.53,49539.4,46789,49400.54
2021-12-11T21:00:00-03:00,49420.51,50800,48675,50124.38
2021-12-12T21:00:00-03:00,50102.31,50226.2,45750,46725.02
2021-12-13T21:00:00-03:00,46736.7,48689.3,46310.4,48389.96
2021-12-14T21:00:00-03:00,48386.95,49514.85,46560,48876.84
2021-12-15T21:00:00-03:00,48876.84,49449,47506.21,47663.42
2021-12-16T21:00:00-03:00,47654.99,48018.52,45478.74,46210.92
2021-12-17T21:00:00-03:00,46141.63,47370.14,45501,46881.87
2021-12-18T21:00:00-03:00,46854.18,48307.34,46450,46704.67
2021-12-19T21:00:00-03:00,46671.66,47547.5,45572.94,46915
2021-12-20T21:00:00-03:00,46926.72,49353.49,46667.08,48929.86
2021-12-21T21:00:00-03:00,48907.75,49600,48449.87,48618.99
2021-12-22T21:00:00-03:00,48618.99,51386.66,48051.1,50850
2021-12-23T21:00:00-03:00,50850,51864.56,50442.34,50841.48
2021-12-24T21:00:00-03:00,50857.42,51179.36,50190.9,50442.22
2021-12-25T21:00:00-03:00,50421.51,51292.65,49458.85,50791.21
2021-12-26T21:00:00-03:00,50885.32,52098.6,50479.44,50718.11
2021-12-27T21:00:00-03:00,50708.05,50719.59,47300,47543.3
2021-12-28T21:00:00-03:00,47597.7,48157.41,46099.94,46483.36
2021-12-29T21:00:00-03:00,46474.59,47916.32,45934.37,47150.71
2021-12-30T21:00:00-03:00,47110.3,48589.47,45655.31,46214.37
2021-12-31T21:00:00-03:00,46230,47960.98,46199.9,47777.42
2022-01-01T21:00:00-03:00,47745.25,47989,46660,47350.22
2022-01-02T21:00:00-03:00,47290.55,47586.58,45692.13,46439.89
2022-01-03T21:00:00-03:00,46464.01,47526,45539.05,45820
2022-01-04T21:00:00-03:00,45828.77,46855.06,42413.59,43435.8
2022-01-05T21:00:00-03:00,43417.31,43782.86,42414,43097.6
2022-01-06T21:00:00-03:00,43093.4,43135.35,40600,41535.66
2022-01-07T21:00:00-03:00,41576.73,42315.31,40517.05,41690.77
2022-01-08T21:00:00-03:00,41697.32,42796.49,41200,41875.81
2022-01-09T21:00:00-03:00,41853.98,42256.55,39558.7,41845.42
2022-01-10T21:00:00-03:00,41842.22,43144.74,41284.11,42736
2022-01-11T21:00:00-03:00,42754.44,44337.26,42471.17,43933.5
2022-01-12T21:00:00-03:00,43935.01,44456.34,42321,42571.94
2022-01-13T21:00:00-03:00,42579.44,43468.95,41782.21,43102.35
2022-01-14T21:00:00-03:00,43085.76,43826.8,42387.86,43102.01
2022-01-15T21:00:00-03:00,43084.77,43495.59,42615,43107.7
2022-01-16T21:00:00-03:00,43099.08,43209.47,41581,42255.07
2022-01-17T21:00:00-03:00,42230.09,42685.25,41290.06,42377.4
2022-01-18T21:00:00-03:00,42378.23,42589.9,41145.23,41683.21
2022-01-19T21:00:00-03:00,41733.21,43518.69,40554.14,40736.05
2022-01-20T21:00:00-03:00,40654.72,41115.58,35423,36495.46
2022-01-21T21:00:00-03:00,36447.37,36825.98,34000,35091.11
2022-01-22T21:00:00-03:00,35084.79,36574.47,34624.59,36293.62
2022-01-23T21:00:00-03:00,36262.21,38050,32950.72,36724.99
2022-01-24T21:00:00-03:00,36721.59,37552.3,35722.43,36975.91
2022-01-25T21:00:00-03:00,37006.76,38946,36279.21,36829.32
2022-01-26T21:00:00-03:00,36824.02,37251,35511.32,37208.36
2022-01-27T21:00:00-03:00,37179.62,38022.11,36173.98,37748.36
2022-01-28T21:00:00-03:00,37713.14,38741.67,37327.79,38192.65
2022-01-29T21:00:00-03:00,38176.45,38378.88,37372.59,37941.82
2022-01-30T21:00:00-03:00,37914.1,38776.33,36631.66,38491.92
2022-01-31T21:00:00-03:00,38483.56,39285,38033.78,38733.04
2022-02-01T21:00:00-03:00,38768.08,38883.96,36618.36,36923.5
2022-02-02T21:00:00-03:00,36924.5,37391.74,36264.55,37320.11
2022-02-03T21:00:00-03:00,37330.75,41760.39,37064.28,41579.57
2022-02-04T21:00:00-03:00,41608.82,41983.12,40975,41427.72
2022-02-05T21:00:00-03:00,41422.7,42701.86,41141.81,42420.24
2022-02-06T21:00:00-03:00,42420.24,44524.18,41682.11,43869.04
2022-02-07T21:00:00-03:00,43895.6,45501,42701.19,44091.56
2022-02-08T21:00:00-03:00,44106.95,44865.72,43164,44426.84
2022-02-09T21:00:00-03:00,44426.24,45850,43209.07,43524.6
2022-02-10T21:00:00-03:00,43540.15,43969.72,41983.12,42406.19
2022-02-11T21:00:00-03:00,42392.22,43034,41740.06,42241.11
2022-02-12T21:00:00-03:00,42232.68,42779.6,41882.54,42077.74
2022-02-13T21:00:00-03:00,42078.53,42871.68,41575,42540.3
2022-02-14T21:00:00-03:00,42567.27,44785.66,42469.96,44582.48
2022-02-15T21:00:00-03:00,44590.75,44590.75,43312.83,43901.48
2022-02-16T21:00:00-03:00,43901.49,44204.78,40088.88,40556.11
2022-02-17T21:00:00-03:00,40532.66,40996.31,39450,39996.99
2022-02-18T21:00:00-03:00,40008.75,40471.27,39587.08,40109.02
2022-02-19T21:00:00-03:00,40108.62,40151.62,37974.18,38373.9
2022-02-20T21:00:00-03:00,38384.09,39494.11,36810.72,37076.6
2022-02-21T21:00:00-03:00,37036.98,38463.88,36368.99,38269.94
2022-02-22T21:00:00-03:00,38269.94,39303.24,37060.16,37274.18
2022-02-23T21:00:00-03:00,37253.26,39720,34324.05,38376.88
2022-02-24T21:00:00-03:00,38360.93,39727.97,38027.61,39231.64
2022-02-25T21:00:00-03:00,39242.64,40330.99,38600,39146.66
2022-02-26T21:00:00-03:00,39146.66,39886.92,37015.74,37712.68
2022-02-27T21:00:00-03:00,37717.1,44256.08,37468.99,43178.98
2022-02-28T21:00:00-03:00,43221.71,44981.22,42847.85,44443.96
2022-03-01T21:00:00-03:00,44443.98,45332.38,43350,43936.72
2022-03-02T21:00:00-03:00,43936.73,44118.53,41832.34,42476.26
2022-03-03T21:00:00-03:00,42476.25,42540.57,38590.95,39175.56
2022-03-04T21:00:00-03:00,39170.19,39620.3,38600.3,39416.79
2022-03-05T21:00:00-03:00,39390.31,39701,38100,38438.89
2022-03-06T21:00:00-03:00,38404.97,39557.26,37169.52,38016.47
2022-03-07T21:00:00-03:00,38002.23,39377,37885.05,38753.65
